label,review_text,total_words,total_characters,total_stopwords,total_punctuations,total_uppercases,tokens
0,stay fairmont chicago one night frequent busi travel familiar travel ritual check late almost pm due flight cancel home airport atlanta took shuttl airport best option lieu price taxi first time stay hotel upon arriv immedi notic entranc appear welcom warm check problem desk person even ask prefer king doubl reconfirm reserv prefer alway take king bed fantast suit great linen incred feather pillow name encompass made pillow factori check tag sinc plan buy ate dinner hotel restaur aria mention like consid separ hotel ye stand food asian fusion truli wonder gourmand life long foodi appreci great food tast hotel servic good well drawback breakfast buffet restaur seem need stick dinner theme sole miss mark rel simpli thing like scrambl egg buffet tast bit metal made get special order made immedi pass buffet would highli recommend hotel atmospher great view get room one fabul dinner pass breakfast buffet,298,1625,41,58,35,"['stay', 'fairmont', 'chicago', 'one', 'night', 'frequent', 'busi', 'travel', 'familiar', 'travel', 'ritual', 'check', 'late', 'almost', 'pm', 'due', 'flight', 'cancel', 'home', 'airport', 'atlanta', 'took', 'shuttl', 'airport', 'best', 'option', 'lieu', 'price', 'taxi', 'first', 'time', 'stay', 'hotel', 'upon', 'arriv', 'immedi', 'notic', 'entranc', 'appear', 'welcom', 'warm', 'check', 'problem', 'desk', 'person', 'even', 'ask', 'prefer', 'king', 'doubl', 'reconfirm', 'reserv', 'prefer', 'alway', 'take', 'king', 'bed', 'fantast', 'suit', 'great', 'linen', 'incred', 'feather', 'pillow', 'name', 'encompass', 'made', 'pillow', 'factori', 'check', 'tag', 'sinc', 'plan', 'buy', 'ate', 'dinner', 'hotel', 'restaur', 'aria', 'mention', 'like', 'consid', 'separ', 'hotel', 'ye', 'stand', 'food', 'asian', 'fusion', 'truli', 'wonder', 'gourmand', 'life', 'long', 'foodi', 'appreci', 'great', 'food', 'tast', 'hotel', 'servic', 'good', 'well', 'drawback', 'breakfast', 'buffet', 'restaur', 'seem', 'need', 'stick', 'dinner', 'theme', 'sole', 'miss', 'mark', 'rel', 'simpli', 'thing', 'like', 'scrambl', 'egg', 'buffet', 'tast', 'bit', 'metal', 'made', 'get', 'special', 'order', 'made', 'immedi', 'pass', 'buffet', 'would', 'highli', 'recommend', 'hotel', 'atmospher', 'great', 'view', 'get', 'room', 'one', 'fabul', 'dinner', 'pass', 'breakfast', 'buffet']"
0,ok first trip chicago litll worri hotel locat final decid conrad wath good experi book king delux room th floor view amaz coplaint could room nice bath applianc good size good plasma tv free internet ask one day breaksfast amaz food overal price aroufn great surpris locat good block everyth quiet hotel,105,544,20,11,11,"['ok', 'first', 'trip', 'chicago', 'litll', 'worri', 'hotel', 'locat', 'final', 'decid', 'conrad', 'wath', 'good', 'experi', 'book', 'king', 'delux', 'room', 'th', 'floor', 'view', 'amaz', 'coplaint', 'could', 'room', 'nice', 'bath', 'applianc', 'good', 'size', 'good', 'plasma', 'tv', 'free', 'internet', 'ask', 'one', 'day', 'breaksfast', 'amaz', 'food', 'overal', 'price', 'aroufn', 'great', 'surpris', 'locat', 'good', 'block', 'everyth', 'quiet', 'hotel']"
0,arriv friday room readi us mind check pm got room pricelin per night stay night upgrad free suit think blown away forgot thank check room fantast also wet bar fridg bathroom quit larg nice size closet mani hanger knew previou review touch mini bar bed pillow comfort room clean everi employe went way friendli help stay th floor east tower quiet room ye could hear peopl hallway rude yell children adult know everyon complain park chicago everi hotel saw charg much without privledg use restaur health club tri eat corner bakeri crowd breakfast nearbi houlihan buffet per person also groceri store behind hotel great far away know mani bad review hotel ye big hotel want busi lobbi stay plu room hotel love hotel would recommend anyon one problem busi would stay heartbeat,306,1563,51,61,37,"['arriv', 'friday', 'room', 'readi', 'us', 'mind', 'check', 'pm', 'got', 'room', 'pricelin', 'per', 'night', 'stay', 'night', 'upgrad', 'free', 'suit', 'think', 'blown', 'away', 'forgot', 'thank', 'check', 'room', 'fantast', 'also', 'wet', 'bar', 'fridg', 'bathroom', 'quit', 'larg', 'nice', 'size', 'closet', 'mani', 'hanger', 'knew', 'previou', 'review', 'touch', 'mini', 'bar', 'bed', 'pillow', 'comfort', 'room', 'clean', 'everi', 'employe', 'went', 'way', 'friendli', 'help', 'stay', 'th', 'floor', 'east', 'tower', 'quiet', 'room', 'ye', 'could', 'hear', 'peopl', 'hallway', 'rude', 'yell', 'children', 'adult', 'know', 'everyon', 'complain', 'park', 'chicago', 'everi', 'hotel', 'saw', 'charg', 'much', 'without', 'privledg', 'use', 'restaur', 'health', 'club', 'tri', 'eat', 'corner', 'bakeri', 'crowd', 'breakfast', 'nearbi', 'houlihan', 'buffet', 'per', 'person', 'also', 'groceri', 'store', 'behind', 'hotel', 'great', 'far', 'away', 'know', 'mani', 'bad', 'review', 'hotel', 'ye', 'big', 'hotel', 'want', 'busi', 'lobbi', 'stay', 'plu', 'room', 'hotel', 'love', 'hotel', 'would', 'recommend', 'anyon', 'one', 'problem', 'busi', 'would', 'stay', 'heartbeat']"
0,wife came spend weekend downtown chicago shop found conrad hotel well locat close everyth downtown size make feel lost convent world feel stay larger hotel past suit view michigan avenu bit lake end staff profession pleasant friendli make us feel comfort internet free n room make review,95,510,25,7,13,"['wife', 'came', 'spend', 'weekend', 'downtown', 'chicago', 'shop', 'found', 'conrad', 'hotel', 'well', 'locat', 'close', 'everyth', 'downtown', 'size', 'make', 'feel', 'lost', 'convent', 'world', 'feel', 'stay', 'larger', 'hotel', 'past', 'suit', 'view', 'michigan', 'avenu', 'bit', 'lake', 'end', 'staff', 'profession', 'pleasant', 'friendli', 'make', 'us', 'feel', 'comfort', 'internet', 'free', 'n', 'room', 'make', 'review']"
0,got sunday night stay pricelin com would hard complain truli great hotel even paid doubl first impress get walk slide door hyatt regenc chicago wow lobbi beauti upscal mall type look open area restaur plenti couch seat etc peopl watch lake water fountain take escal concierg directori check area hotel let check pm pm check time suggest call ahead like know come earli women desk friendli request higher level floor happi look even told room th floor veiw river go higher view thought pretti nice give inform wouldnt get stuck room view wall room big doubl room bed beauti great pillow blanket headboard etc ipod alarm clock nice st centuri touch room great plug ipod listen music get readi night relax long day tour chicago view nice bathroom spotless great toiletri anoth great featur concierg area comput give access print board pass get airport simpli look screen click airlin icon follow instruct board pass minut came handi got ohar abl skip long line frustrat passeng hotel day far one better hotel experi travel alot busi hotel definit great choic famili coupl definit would stay im pass chicago,385,1999,51,43,44,"['got', 'sunday', 'night', 'stay', 'pricelin', 'com', 'would', 'hard', 'complain', 'truli', 'great', 'hotel', 'even', 'paid', 'doubl', 'first', 'impress', 'get', 'walk', 'slide', 'door', 'hyatt', 'regenc', 'chicago', 'wow', 'lobbi', 'beauti', 'upscal', 'mall', 'type', 'look', 'open', 'area', 'restaur', 'plenti', 'couch', 'seat', 'etc', 'peopl', 'watch', 'lake', 'water', 'fountain', 'take', 'escal', 'concierg', 'directori', 'check', 'area', 'hotel', 'let', 'check', 'pm', 'pm', 'check', 'time', 'suggest', 'call', 'ahead', 'like', 'know', 'come', 'earli', 'women', 'desk', 'friendli', 'request', 'higher', 'level', 'floor', 'happi', 'look', 'even', 'told', 'room', 'th', 'floor', 'veiw', 'river', 'go', 'higher', 'view', 'thought', 'pretti', 'nice', 'give', 'inform', 'wouldnt', 'get', 'stuck', 'room', 'view', 'wall', 'room', 'big', 'doubl', 'room', 'bed', 'beauti', 'great', 'pillow', 'blanket', 'headboard', 'etc', 'ipod', 'alarm', 'clock', 'nice', 'st', 'centuri', 'touch', 'room', 'great', 'plug', 'ipod', 'listen', 'music', 'get', 'readi', 'night', 'relax', 'long', 'day', 'tour', 'chicago', 'view', 'nice', 'bathroom', 'spotless', 'great', 'toiletri', 'anoth', 'great', 'featur', 'concierg', 'area', 'comput', 'give', 'access', 'print', 'board', 'pass', 'get', 'airport', 'simpli', 'look', 'screen', 'click', 'airlin', 'icon', 'follow', 'instruct', 'board', 'pass', 'minut', 'came', 'handi', 'got', 'ohar', 'abl', 'skip', 'long', 'line', 'frustrat', 'passeng', 'hotel', 'day', 'far', 'one', 'better', 'hotel', 'experi', 'travel', 'alot', 'busi', 'hotel', 'definit', 'great', 'choic', 'famili', 'coupl', 'definit', 'would', 'stay', 'im', 'pass', 'chicago']"
0,superb hotel room huge includ luxuri bathroom clean servic first rate breakfast excel complimentari hilton honor member hotel good locat connect mall imagin would great asset chicago winter next time go chicago stay sure,66,360,13,12,13,"['superb', 'hotel', 'room', 'huge', 'includ', 'luxuri', 'bathroom', 'clean', 'servic', 'first', 'rate', 'breakfast', 'excel', 'complimentari', 'hilton', 'honor', 'member', 'hotel', 'good', 'locat', 'connect', 'mall', 'imagin', 'would', 'great', 'asset', 'chicago', 'winter', 'next', 'time', 'go', 'chicago', 'stay', 'sure']"
0,stay conrad night friend reunion room clean new feel nice citi view free bottl water room upon arriv check breez room readi even though sever hour earli staff friendli help excel breakfast,54,298,10,8,5,"['stay', 'conrad', 'night', 'friend', 'reunion', 'room', 'clean', 'new', 'feel', 'nice', 'citi', 'view', 'free', 'bottl', 'water', 'room', 'upon', 'arriv', 'check', 'breez', 'room', 'readi', 'even', 'though', 'sever', 'hour', 'earli', 'staff', 'friendli', 'help', 'excel', 'breakfast']"
0,conrad hotel beauti hotel room perfect beauti everi way impress hard pleas high standard clean aesthet pleas date gorgeou would definit stay love locat superb attach nordstrom northbridg mall wait go back,66,373,13,15,13,"['conrad', 'hotel', 'beauti', 'hotel', 'room', 'perfect', 'beauti', 'everi', 'way', 'impress', 'hard', 'pleas', 'high', 'standard', 'clean', 'aesthet', 'pleas', 'date', 'gorgeou', 'would', 'definit', 'stay', 'love', 'locat', 'superb', 'attach', 'nordstrom', 'northbridg', 'mall', 'wait', 'go', 'back']"
0,boyfriend decid stay conrad chicago anniversari second walk immedi look feel room white luxur bed king bed plasma v subroof surround sound speaker boyfriend impress remind come chicago hotel room larg bathroom w tub separ stand shower granit countertop robe slipper view great th floor realli high enough see anyth side build next us larg room mean go citi hotel room prefect size amount time actual room got great rate hotel com think go rate usual closer mid stay quit hotel downtown area none ever impress one definit stay next trip citi,205,1066,39,38,16,"['boyfriend', 'decid', 'stay', 'conrad', 'chicago', 'anniversari', 'second', 'walk', 'immedi', 'look', 'feel', 'room', 'white', 'luxur', 'bed', 'king', 'bed', 'plasma', 'v', 'subroof', 'surround', 'sound', 'speaker', 'boyfriend', 'impress', 'remind', 'come', 'chicago', 'hotel', 'room', 'larg', 'bathroom', 'w', 'tub', 'separ', 'stand', 'shower', 'granit', 'countertop', 'robe', 'slipper', 'view', 'great', 'th', 'floor', 'realli', 'high', 'enough', 'see', 'anyth', 'side', 'build', 'next', 'us', 'larg', 'room', 'mean', 'go', 'citi', 'hotel', 'room', 'prefect', 'size', 'amount', 'time', 'actual', 'room', 'got', 'great', 'rate', 'hotel', 'com', 'think', 'go', 'rate', 'usual', 'closer', 'mid', 'stay', 'quit', 'hotel', 'downtown', 'area', 'none', 'ever', 'impress', 'one', 'definit', 'stay', 'next', 'trip', 'citi']"
0,got good deal weekend pacag hotel say nicest stay dozen busi trip chicago room suit staff friendli profession restaur world extra like great health club turn servic complimentari morn beverag deliv room room clean everi need attend without feel intrud defin stay,88,480,21,8,9,"['got', 'good', 'deal', 'weekend', 'pacag', 'hotel', 'say', 'nicest', 'stay', 'dozen', 'busi', 'trip', 'chicago', 'room', 'suit', 'staff', 'friendli', 'profession', 'restaur', 'world', 'extra', 'like', 'great', 'health', 'club', 'turn', 'servic', 'complimentari', 'morn', 'beverag', 'deliv', 'room', 'room', 'clean', 'everi', 'need', 'attend', 'without', 'feel', 'intrud', 'defin', 'stay']"
0,stay fairmont night found whole experi excel given larg room great view citi breakfast extrem good locat central could wish pool larg felt luxuri great earli morn swim even spent time hotel bar friend excel highli recommend base explor chicago,86,463,17,7,9,"['stay', 'fairmont', 'night', 'found', 'whole', 'experi', 'excel', 'given', 'larg', 'room', 'great', 'view', 'citi', 'breakfast', 'extrem', 'good', 'locat', 'central', 'could', 'wish', 'pool', 'larg', 'felt', 'luxuri', 'great', 'earli', 'morn', 'swim', 'even', 'spent', 'time', 'hotel', 'bar', 'friend', 'excel', 'highli', 'recommend', 'base', 'explor', 'chicago']"
0,went chicago see exhibit art institut select fairmont close although lobbi still renov experi hotel uniformli posit room nice size newli remodel immacul glitch involv get room coffe replenish maid bedtim first night still coffe call front desk immedi deliv fresh suppli restaur littl underwhelm mani place go within block probabl eaten stay close dozen differ chicago hotel may hotel return whenev return,137,779,37,16,13,"['went', 'chicago', 'see', 'exhibit', 'art', 'institut', 'select', 'fairmont', 'close', 'although', 'lobbi', 'still', 'renov', 'experi', 'hotel', 'uniformli', 'posit', 'room', 'nice', 'size', 'newli', 'remodel', 'immacul', 'glitch', 'involv', 'get', 'room', 'coffe', 'replenish', 'maid', 'bedtim', 'first', 'night', 'still', 'coffe', 'call', 'front', 'desk', 'immedi', 'deliv', 'fresh', 'suppli', 'restaur', 'littl', 'underwhelm', 'mani', 'place', 'go', 'within', 'block', 'probabl', 'eaten', 'stay', 'close', 'dozen', 'differ', 'chicago', 'hotel', 'may', 'hotel', 'return', 'whenev', 'return']"
0,actual book reserv hotel phone got great rate much lower usual price love hotel beauti appoint walk distanc place want go would highli recommend fairmont,45,259,11,7,4,"['actual', 'book', 'reserv', 'hotel', 'phone', 'got', 'great', 'rate', 'much', 'lower', 'usual', 'price', 'love', 'hotel', 'beauti', 'appoint', 'walk', 'distanc', 'place', 'want', 'go', 'would', 'highli', 'recommend', 'fairmont']"
0,name price pricelin buck hotel room great clean clean new fresh crisp sheet comfort bed flat screen tv clean carpet nice bath etc short distanc food sightse highli recommend properti prepar pay per night park hey hyatt also charg bottl water normal buck total nightli stay chicago place drink bottl water happi travel,88,497,17,27,18,"['name', 'price', 'pricelin', 'buck', 'hotel', 'room', 'great', 'clean', 'clean', 'new', 'fresh', 'crisp', 'sheet', 'comfort', 'bed', 'flat', 'screen', 'tv', 'clean', 'carpet', 'nice', 'bath', 'etc', 'short', 'distanc', 'food', 'sightse', 'highli', 'recommend', 'properti', 'prepar', 'pay', 'per', 'night', 'park', 'hey', 'hyatt', 'also', 'charg', 'bottl', 'water', 'normal', 'buck', 'total', 'nightli', 'stay', 'chicago', 'place', 'drink', 'bottl', 'water', 'happi', 'travel']"
0,check fast room perfect problem standard big citi busi hotel everi amen imagin got good deal one night stay made money back exorbit park rate absurd access fee wireless internet bore routin hotel fare walk two block gourmet pantri n michigan refresh chang,74,421,18,14,8,"['check', 'fast', 'room', 'perfect', 'problem', 'standard', 'big', 'citi', 'busi', 'hotel', 'everi', 'amen', 'imagin', 'got', 'good', 'deal', 'one', 'night', 'stay', 'made', 'money', 'back', 'exorbit', 'park', 'rate', 'absurd', 'access', 'fee', 'wireless', 'internet', 'bore', 'routin', 'hotel', 'fare', 'walk', 'two', 'block', 'gourmet', 'pantri', 'n', 'michigan', 'refresh', 'chang']"
0,arriv greet friendli doorman zip th floor lobbi open lobbi area friendli recept staff room th floor nice everyth order clean king size bed nice night rest sleep bathroom larg separ glass shower stall room furnish everyth need includ internet hook access also walk thru th fl westfield north bridg shop mall enjoy nordstrom store cours step michigan ave central locat hotel great could walk place cta subway stop grand ave red line easi block walk stay next trip chicago,146,803,27,26,36,"['arriv', 'greet', 'friendli', 'doorman', 'zip', 'th', 'floor', 'lobbi', 'open', 'lobbi', 'area', 'friendli', 'recept', 'staff', 'room', 'th', 'floor', 'nice', 'everyth', 'order', 'clean', 'king', 'size', 'bed', 'nice', 'night', 'rest', 'sleep', 'bathroom', 'larg', 'separ', 'glass', 'shower', 'stall', 'room', 'furnish', 'everyth', 'need', 'includ', 'internet', 'hook', 'access', 'also', 'walk', 'thru', 'th', 'fl', 'westfield', 'north', 'bridg', 'shop', 'mall', 'enjoy', 'nordstrom', 'store', 'cours', 'step', 'michigan', 'ave', 'central', 'locat', 'hotel', 'great', 'could', 'walk', 'place', 'cta', 'subway', 'stop', 'grand', 'ave', 'red', 'line', 'easi', 'block', 'walk', 'stay', 'next', 'trip', 'chicago']"
0,simpli nice place stay great deal room impress qualiti hotel staff help abl let check help print board pass neg frustrat nowaday free internet hotel pay internet neg loud phone may hear neighbor phone shower,82,434,27,14,7,"['simpli', 'nice', 'place', 'stay', 'great', 'deal', 'room', 'impress', 'qualiti', 'hotel', 'staff', 'help', 'abl', 'let', 'check', 'help', 'print', 'board', 'pass', 'neg', 'frustrat', 'nowaday', 'free', 'internet', 'hotel', 'pay', 'internet', 'neg', 'loud', 'phone', 'may', 'hear', 'neighbor', 'phone', 'shower']"
0,stay conrad one even amaz room would like stay longer newli renov th floor room gorgeou super clean flat screen bose sound system even ihom ipod wireless free bring free bottl water turn everyon help friendli wait go back,83,422,22,8,9,"['stay', 'conrad', 'one', 'even', 'amaz', 'room', 'would', 'like', 'stay', 'longer', 'newli', 'renov', 'th', 'floor', 'room', 'gorgeou', 'super', 'clean', 'flat', 'screen', 'bose', 'sound', 'system', 'even', 'ihom', 'ipod', 'wireless', 'free', 'bring', 'free', 'bottl', 'water', 'turn', 'everyon', 'help', 'friendli', 'wait', 'go', 'back']"
0,spent week hotel pleas experi describ previou review room comfort huge televison bathroom particularli outstand servic excel overal especi like bottl water bedsid turn servic door bellmen women particularli pleasant help concierg friendli knowledg complet satisfactori though overpr drink bar eat restaur health club fine equip well maintain three treadmil two elipit stepper never wait machin although might differ stori dead chicago winter one minor quibbl like coffe first thing morn room coffe maker restaur offer free coffe go eight comfort attract hotel wonder locat chicago expens citi felt got reason valu money,186,1116,31,27,17,"['spent', 'week', 'hotel', 'pleas', 'experi', 'describ', 'previou', 'review', 'room', 'comfort', 'huge', 'televison', 'bathroom', 'particularli', 'outstand', 'servic', 'excel', 'overal', 'especi', 'like', 'bottl', 'water', 'bedsid', 'turn', 'servic', 'door', 'bellmen', 'women', 'particularli', 'pleasant', 'help', 'concierg', 'friendli', 'knowledg', 'complet', 'satisfactori', 'though', 'overpr', 'drink', 'bar', 'eat', 'restaur', 'health', 'club', 'fine', 'equip', 'well', 'maintain', 'three', 'treadmil', 'two', 'elipit', 'stepper', 'never', 'wait', 'machin', 'although', 'might', 'differ', 'stori', 'dead', 'chicago', 'winter', 'one', 'minor', 'quibbl', 'like', 'coffe', 'first', 'thing', 'morn', 'room', 'coffe', 'maker', 'restaur', 'offer', 'free', 'coffe', 'go', 'eight', 'comfort', 'attract', 'hotel', 'wonder', 'locat', 'chicago', 'expens', 'citi', 'felt', 'got', 'reason', 'valu', 'money']"
